n,P_approx_2(2.3.n)
1861,0.276196
1862,0.270140
1863,0.257112
1864,0.258047
1865,0.265416
1866,0.266345
1867,0.252276
1868,0.270343
1869,0.275013
1870,0.270053
1871,0.262427
1872,0.274573
1873,0.267485
1874,0.272145
1875,0.276267
1876,0.250533
1877,0.263186
1878,0.247071
1879,0.281001
1880,0.273404
1881,0.253057
1882,0.252391
1883,0.262878
1884,0.261146
1885,0.272679
1886,0.258749
1887,0.280869
1888,0.267479
1889,0.290101
1890,0.274603
1891,0.268112
1892,0.248943
1893,0.255151
1894,0.282471
1895,0.255937
1896,0.257384
1897,0.263047
1898,0.261855
1899,0.285413
1900,0.272632
1901,0.266702
1902,0.265510
1903,0.254861
1904,0.246849
1905,0.265617
1906,0.273347
1907,0.286314
1908,0.267820
1909,0.261393
1910,0.266492
1911,0.274202
1912,0.269874
1913,0.263461
1914,0.278474
1915,0.257441
1916,0.251044
1917,0.259259
1918,0.259645
1919,0.265242
1920,0.281250
1921,0.267569
1922,0.274714
1923,0.277171
1924,0.273909
1925,0.267532
1926,0.246625
1927,0.262065
1928,0.267116
1929,0.249352
1930,0.263731
1931,0.266701
1932,0.257764
1933,0.257631
1934,0.259566
1935,0.260982
1936,0.256715
1937,0.285493
1938,0.273994
1939,0.273337
1940,0.262887
1941,0.260690
1942,0.275489
1943,0.275862
1944,0.264918
1945,0.256555
1946,0.278006
1947,0.253724
1948,0.271561
1949,0.252950
1950,0.273846
1951,0.273193
1952,0.279713
1953,0.254480
1954,0.276868
1955,0.275192
1956,0.264826
1957,0.256004
1958,0.262002
1959,0.279224
1960,0.275510
1961,0.265171
1962,0.250255
1963,0.261844
1964,0.275458
1965,0.263613
1966,0.276704
1967,0.270463
1968,0.271850
1969,0.262570
1970,0.267513
1971,0.260274
1972,0.267748
1973,0.255955
1974,0.253799
1975,0.255696
1976,0.250506
1977,0.261507
1978,0.266431
1979,0.263264
1980,0.270202
1981,0.280162
1982,0.275479
1983,0.261220
1984,0.271169
1985,0.250882
1986,0.287009
1987,0.260695
1988,0.267606
1989,0.265460
1990,0.253769
1991,0.276745
1992,0.273092
1993,0.262920
1994,0.254263
1995,0.262155
1996,0.256513
1997,0.280921
1998,0.279780
1999,0.249625
2000,0.289000
2001,0.266867
2002,0.263736
2003,0.263605
2004,0.254990
2005,0.269327
2006,0.283649
2007,0.266069
2008,0.280378
2009,0.251369
2010,0.276119
2011,0.256091
2012,0.276839
2013,0.253353
2014,0.275074
2015,0.266501
2016,0.271825
2017,0.255825
2018,0.265114
2019,0.276374
2020,0.267822
2021,0.276101
2022,0.262611
2023,0.261493
2024,0.270257
2025,0.252346
2026,0.275420
2027,0.281697
2028,0.268245
2029,0.263677
2030,0.264532
2031,0.285574
2032,0.264272
2033,0.265125
2034,0.276303
2035,0.267813
2036,0.260806
2037,0.270496
2038,0.273798
2039,0.290338
2040,0.260784
2041,0.288094
2042,0.261998
2043,0.267254
2044,0.246575
2045,0.277262
2046,0.265885
2047,0.275037
2048,0.271973
2049,0.269888
2050,0.275122
2051,0.256948
2052,0.278752
2053,0.254262
2054,0.266796
2055,0.269100
2056,0.263132
2057,0.270783
2058,0.277940
2059,0.286061
2060,0.264563
2061,0.273654
2062,0.268671
2063,0.253030
2064,0.250969
2065,0.263923
2066,0.259923
2067,0.265119
2068,0.269826
2069,0.279362
2070,0.268116
2071,0.260744
2072,0.263514
2073,0.285094
2074,0.258438
2075,0.262169
2076,0.260116
2077,0.268657
2078,0.279596
2079,0.255411
2080,0.261058
2081,0.280154
2082,0.266571
2083,0.261642
2084,0.270154
2085,0.267626
2086,0.269895
2087,0.278390
2088,0.266284
2089,0.269507
2090,0.264593
2091,0.267814
2092,0.257648
2093,0.267081
2094,0.258357
2095,0.266348
2096,0.272901
2097,0.261803
2098,0.282173
2099,0.253454
2100,0.259524
2101,0.258924
2102,0.259277
2103,0.261056
2104,0.267110
2105,0.266983
2106,0.275404
2107,0.261984
2108,0.276091
2109,0.266951
2110,0.277251
2111,0.252487
2112,0.276515
2113,0.271652
2114,0.275307
2115,0.269976
2116,0.268431
2117,0.263581
2118,0.264400
2119,0.262860
2120,0.262264
2121,0.265912
2122,0.282281
2123,0.261423
2124,0.253766
2125,0.272941
2126,0.252587
2127,0.255759
2128,0.278195
2129,0.258337
2130,0.251174
2131,0.268888
2132,0.278612
2133,0.273793
2134,0.261012
2135,0.279625
2136,0.288858
2137,0.262518
2138,0.261459
2139,0.268350
2140,0.261682
2141,0.275572
2142,0.260971
2143,0.259449
2144,0.275187
2145,0.256876
2146,0.266542
2147,0.272007
2148,0.255121
2149,0.265705
2150,0.271628
2151,0.264063
2152,0.274628
2153,0.281468
2154,0.264160
2155,0.267285
2156,0.285714
2157,0.257765
2158,0.259500
2159,0.275591
2160,0.268519
2161,0.268857
2162,0.253469
2163,0.249191
2164,0.253697
2165,0.242494
2166,0.283472
2167,0.264882
2168,0.264760
2169,0.269249
2170,0.254839
2171,0.255643
2172,0.271639
2173,0.276116
2174,0.262649
2175,0.268966
2176,0.280331
2177,0.259991
2178,0.271809
2179,0.255163
2180,0.250459
2181,0.268226
2182,0.262603
2183,0.267980
2184,0.274267
2185,0.274600
2186,0.262123
2187,0.253772
2188,0.254570
2189,0.261763
2190,0.264384
2191,0.260612
2192,0.271898
2193,0.270406
2194,0.260255
2195,0.258770
2196,0.259107
2197,0.268093
2198,0.278890
2199,0.260573
2200,0.268636
2201,0.261699
2202,0.247048
2203,0.259646
2204,0.269964
2205,0.264399
2206,0.263373
2207,0.273222
2208,0.257699
2209,0.267542
2210,0.277828
2211,0.267752
2212,0.258137
2213,0.268866
2214,0.274164
2215,0.255530
2216,0.263538
2217,0.264772
2218,0.279982
2219,0.266336
2220,0.284234
2221,0.266096
2222,0.261026
2223,0.254611
2224,0.270683
2225,0.277753
2226,0.270889
2227,0.266727
2228,0.275583
2229,0.263795
2230,0.275785
2231,0.265800
2232,0.263441
2233,0.258845
2234,0.253357
2235,0.263982
2236,0.265653
2237,0.244524
2238,0.262288
2239,0.273336
2240,0.276786
2241,0.280232
2242,0.258252
2243,0.280428
2244,0.264706
2245,0.259688
2246,0.271594
2247,0.263907
2248,0.274911
2249,0.272566
2250,0.268444
2251,0.257219
2252,0.269982
2253,0.276520
2254,0.275510
2255,0.241685
2256,0.264628
2257,0.253877
2258,0.248893
2259,0.252324
2260,0.264159
2261,0.252101
2262,0.268347
2263,0.262042
2264,0.264576
2265,0.269757
2266,0.270962
2267,0.275695
2268,0.281746
2269,0.263112
2270,0.269163
2271,0.251871
2272,0.271127
2273,0.257369
2274,0.253298
2275,0.252308
2276,0.262742
2277,0.267018
2278,0.276997
2279,0.278192
2280,0.264474
2281,0.267865
2282,0.279579
2283,0.274639
2284,0.271454
2285,0.261707
2286,0.271654
2287,0.278968
2288,0.270542
2289,0.278287
2290,0.267249
2291,0.268442
2292,0.270506
2293,0.262538
2294,0.259372
2295,0.291503
2296,0.268728
2297,0.259034
2298,0.258486
2299,0.261418
2300,0.266087
2301,0.269013
2302,0.257602
2303,0.256622
2304,0.254774
2305,0.265510
2306,0.273634
2307,0.264846
2308,0.280329
2309,0.274578
2310,0.262771
2311,0.276071
2312,0.256055
2313,0.262862
2314,0.278738
2315,0.254428
2316,0.274611
2317,0.281830
2318,0.267472
2319,0.275981
2320,0.278017
2321,0.268419
2322,0.252369
2323,0.275075
2324,0.281411
2325,0.274839
2326,0.288908
2327,0.274173
2328,0.269330
2329,0.272649
2330,0.275536
2331,0.269412
2332,0.276587
2333,0.264895
2334,0.257069
2335,0.263383
2336,0.273116
2337,0.274283
2338,0.264756
2339,0.265498
2340,0.263675
2341,0.266980
2342,0.252348
2343,0.261630
2344,0.284556
2345,0.277612
2346,0.260017
2347,0.266297
2348,0.279387
2349,0.276288
2350,0.266383
2351,0.284560
2352,0.266582
2353,0.268593
2354,0.264231
2355,0.284501
2356,0.266129
2357,0.258804
2358,0.273113
2359,0.283595
2360,0.272034
2361,0.274460
2362,0.263760
2363,0.265341
2364,0.274958
2365,0.270613
2366,0.285292
2367,0.261512
2368,0.269003
2369,0.269734
2370,0.265401
2371,0.266976
2372,0.268971
2373,0.272651
2374,0.271272
2375,0.271579
2376,0.264731
2377,0.256205
2378,0.254415
2379,0.278268
2380,0.271849
2381,0.263335
2382,0.279177
2383,0.273185
2384,0.267617
2385,0.270860
2386,0.276194
2387,0.261416
2388,0.260469
2389,0.269569
2390,0.264435
2391,0.276453
2392,0.250000
2393,0.260343
2394,0.245614
2395,0.262630
2396,0.261269
2397,0.272424
2398,0.276063
2399,0.278033
2400,0.268333
2401,0.268222
2402,0.259784
2403,0.279650
2404,0.260815
2405,0.253638
2406,0.261845
2407,0.275862
2408,0.264950
2409,0.278954
2410,0.273029
2411,0.281626
2412,0.269486
2413,0.266473
2414,0.261806
2415,0.252588
2416,0.268212
2417,0.254034
2418,0.265509
2419,0.266639
2420,0.268595
2421,0.269723
2422,0.275805
2423,0.275691
2424,0.252063
2425,0.261031
2426,0.262572
2427,0.261640
2428,0.271005
2429,0.267188
2430,0.283128
2431,0.270671
2432,0.265625
2433,0.270037
2434,0.263353
2435,0.271047
2436,0.259852
2437,0.277801
2438,0.266202
2439,0.268143
2440,0.265574
2441,0.259320
2442,0.260852
2443,0.267704
2444,0.256547
2445,0.276074
2446,0.275961
2447,0.253780
2448,0.270425
2449,0.277664
2450,0.262449
2451,0.263974
2452,0.267945
2453,0.270689
2454,0.267726
2455,0.272098
2456,0.269544
2457,0.266992
2458,0.266070
2459,0.269215
2460,0.250407
2461,0.271028
2462,0.251828
2463,0.257410
2464,0.248782
2465,0.274645
2466,0.257502
2467,0.281719
2468,0.270665
2469,0.253544
2470,0.270040
2471,0.267908
2472,0.254450
2473,0.268500
2474,0.281326
2475,0.269495
2476,0.260097
2477,0.276140
2478,0.280872
2479,0.265833
2480,0.260887
2481,0.257960
2482,0.264706
2483,0.258155
2484,0.268116
2485,0.262777
2486,0.259453
2487,0.250905
2488,0.276125
2489,0.267176
2490,0.261847
2491,0.274187
2492,0.261236
2493,0.291215
2494,0.258621
2495,0.276954
2496,0.275641
2497,0.269523
2498,0.274219
2499,0.268507
2500,0.271600
2501,0.249500
2502,0.264189
2503,0.257691
2504,0.264377
2505,0.268663
2506,0.256584
2507,0.250897
2508,0.265152
2509,0.264249
2510,0.278486
2511,0.269614
2512,0.252787
2513,0.292479
2514,0.261337
2515,0.261233
2516,0.273052
2517,0.270957
2518,0.252979
2519,0.268757
2520,0.257937
2521,0.279651
2522,0.279937
2523,0.284185
2524,0.261094
2525,0.259010
2526,0.264846
2527,0.271468
2528,0.274130
2529,0.262554
2530,0.264032
2531,0.284868
2532,0.265403
2533,0.266482
2534,0.265588
2535,0.258383
2536,0.266956
2537,0.258179
2538,0.258077
2539,0.264671
2540,0.269291
2541,0.274695
2542,0.274980
2543,0.279984
2544,0.269261
2545,0.272692
2546,0.261194
2547,0.266196
2548,0.275903
2549,0.273441
2550,0.258431
2551,0.293218
2552,0.274687
2553,0.265962
2554,0.261551
2555,0.261057
2556,0.266041
2557,0.265937
2558,0.275215
2559,0.255569
2560,0.255469
2561,0.252245
2562,0.268540
2563,0.280140
2564,0.263261
2565,0.266277
2566,0.274747
2567,0.280483
2568,0.271417
2569,0.274037
2570,0.268872
2571,0.268378
2572,0.281882
2573,0.274777
2574,0.284771
2575,0.257864
2576,0.267469
2577,0.251843
2578,0.271916
2579,0.270648
2580,0.269767
2581,0.260752
2582,0.256778
2583,0.258614
2584,0.270511
2585,0.264217
2586,0.261021
2587,0.277155
2588,0.261978
2589,0.274623
2590,0.276834
2591,0.255886
2592,0.266975
2593,0.269186
2594,0.259830
2595,0.271676
2596,0.281202
2597,0.273392
2598,0.267898
2599,0.258176
2600,0.274615
2601,0.259900
2602,0.276326
2603,0.258548
2604,0.251920
2605,0.251440
2606,0.256715
2607,0.253932
2608,0.264954
2609,0.251821
2610,0.262452
2611,0.265799
2612,0.255743
2613,0.276311
2614,0.265876
2615,0.256214
2616,0.251529
2617,0.255254
2618,0.251719
2619,0.260787
2620,0.256489
2621,0.262114
2622,0.263539
2623,0.264964
2624,0.267912
2625,0.276190
2626,0.253237
2627,0.271793
2628,0.266743
2629,0.260175
2630,0.248669
2631,0.251995
2632,0.249240
2633,0.269275
2634,0.281701
2635,0.274004
2636,0.264416
2637,0.279484
2638,0.252843
2639,0.280788
2640,0.273106
2641,0.273760
2642,0.266465
2643,0.254635
2644,0.269289
2645,0.266541
2646,0.277400
2647,0.269362
2648,0.263973
2649,0.257078
2650,0.261887
2651,0.265937
2652,0.265460
2653,0.266114
2654,0.276564
2655,0.274576
2656,0.267319
2657,0.278886
2658,0.268999
2659,0.260624
2660,0.255639
2661,0.273957
2662,0.267092
2663,0.273751
2664,0.266517
2665,0.267917
2666,0.267442
2667,0.272216
2668,0.261994
2669,0.279505
2670,0.259176
2671,0.280794
2672,0.278069
2673,0.276094
2674,0.257666
2675,0.265047
2676,0.270927
2677,0.261860
2678,0.268484
2679,0.273610
2680,0.265672
2681,0.251026
2682,0.259508
2683,0.269847
2684,0.259687
2685,0.282309
2686,0.260983
2687,0.276144
2688,0.261905
2689,0.265154
2690,0.257249
2691,0.271275
2692,0.270802
2693,0.269216
2694,0.284707
2695,0.275325
2696,0.265208
2697,0.275121
2698,0.268718
2699,0.270841
2700,0.286296
2701,0.273973
2702,0.252036
2703,0.263781
2704,0.262944
2705,0.241035
2706,0.258684
2707,0.274104
2708,0.276588
2709,0.259874
2710,0.252768
2711,0.269642
2712,0.264749
2713,0.256174
2714,0.253132
2715,0.268508
2716,0.258837
2717,0.281192
2718,0.260486
2719,0.251195
2720,0.252206
2721,0.261669
2722,0.253123
2723,0.247521
2724,0.272761
2725,0.262385
2726,0.260822
2727,0.269527
2728,0.263930
2729,0.263466
2730,0.257875
2731,0.265471
2732,0.277086
2733,0.263081
2734,0.259327
2735,0.254845
2736,0.252924
2737,0.263427
2738,0.277210
2739,0.262870
2740,0.267883
2741,0.270704
2742,0.274252
2743,0.268684
2744,0.275875
2745,0.264845
2746,0.257465
2747,0.263924
2748,0.275473
2749,0.278647
2750,0.257091
2751,0.259542
2752,0.262718
2753,0.273157
2754,0.278504
2755,0.272958
2756,0.271045
2757,0.278564
2758,0.262509
2759,0.277637
2760,0.277174
2761,0.264397
2762,0.250905
2763,0.266739
2764,0.259407
2765,0.276673
2766,0.263557
2767,0.267799
2768,0.265896
2769,0.274828
2770,0.271480
2771,0.266330
2772,0.265873
2773,0.252795
2774,0.275415
2775,0.266306
2776,0.262248
2777,0.270436
2778,0.273938
2779,0.252249
2780,0.264748
2781,0.261776
2782,0.273544
2783,0.276321
2784,0.271911
2785,0.266427
2786,0.257358
2787,0.261930
2788,0.263630
2789,0.266045
2790,0.264875
2791,0.277320
2792,0.260029
2793,0.266022
2794,0.265211
2795,0.257603
2796,0.265021
2797,0.276010
2798,0.264117
2799,0.266524
2800,0.260714
2801,0.256694
2802,0.279086
2803,0.265430
2804,0.262482
2805,0.259180
2806,0.255167
2807,0.280014
2808,0.272436
2809,0.264507
2810,0.265125
2811,0.261473
2812,0.255690
2813,0.273729
2814,0.267235
2815,0.264298
2816,0.262074
2817,0.268016
2818,0.264017
2819,0.262150
2820,0.258865
2821,0.275434
2822,0.266123
2823,0.274176
2824,0.271246
2825,0.266903
2826,0.276008
2827,0.273435
2828,0.276874
2829,0.262283
2830,0.269965
2831,0.270576
2832,0.278249
2833,0.261560
2834,0.268172
2835,0.259259
2836,0.250000
2837,0.253084
2838,0.269556
2839,0.265586
2840,0.259155
2841,0.253784
2842,0.252639
2843,0.258530
2844,0.261603
2845,0.265026
2846,0.273015
2847,0.270460
2848,0.280197
2849,0.272376
2850,0.256491
2851,0.266924
2852,0.280856
2853,0.255521
2854,0.277505
2855,0.254641
2856,0.264706
2857,0.259713
2858,0.268369
2859,0.271773
2860,0.274476
2861,0.279273
2862,0.268344
2863,0.263011
2864,0.253142
2865,0.260035
2866,0.262736
2867,0.281828
2868,0.250697
2869,0.275706
2870,0.255401
2871,0.263323
2872,0.262187
2873,0.255830
2874,0.266180
2875,0.278957
2876,0.251739
2877,0.270768
2878,0.260250
2879,0.277527
2880,0.271875
2881,0.274557
2882,0.269951
2883,0.276795
2884,0.267684
2885,0.270711
2886,0.277893
2887,0.258400
2888,0.256579
2889,0.274836
2890,0.276817
2891,0.274645
2892,0.265214
2893,0.266160
2894,0.271251
2895,0.276339
2896,0.264503
2897,0.259579
2898,0.253278
2899,0.280097
2900,0.263793
2901,0.267494
2902,0.261544
2903,0.282811
2904,0.262397
2905,0.255766
2906,0.265657
2907,0.276918
2908,0.270633
2909,0.277415
2910,0.261856
2911,0.270354
2912,0.264080
2913,0.272228
2914,0.268016
2915,0.260377
2916,0.269890
2917,0.263970
2918,0.270048
2919,0.269270
2920,0.268493
2921,0.275933
2922,0.277892
2923,0.276770
2924,0.261628
2925,0.261538
2926,0.257006
2927,0.259310
2928,0.265710
2929,0.258109
2930,0.267235
2931,0.267827
2932,0.278649
2933,0.271054
2934,0.259373
2935,0.275298
2936,0.276226
2937,0.283963
2938,0.265827
2939,0.258932
2940,0.260544
2941,0.264196
2942,0.268525
2943,0.273870
2944,0.266644
2945,0.262818
2946,0.281738
2947,0.264337
2948,0.261533
2949,0.257714
2950,0.255593
2951,0.275161
2952,0.255081
2953,0.260752
2954,0.258294
2955,0.263959
2956,0.275034
2957,0.264795
2958,0.258621
2959,0.256506
2960,0.262162
2961,0.267139
2962,0.266374
2963,0.268309
2964,0.260121
2965,0.287352
2966,0.269049
2967,0.269633
2968,0.255728
2969,0.270461
2970,0.258586
2971,0.263884
2972,0.276918
2973,0.265725
2974,0.258574
2975,0.254118
2976,0.256720
2977,0.268055
2978,0.266286
2979,0.276267
2980,0.267114
2981,0.286481
2982,0.248491
2983,0.266510
2984,0.275804
2985,0.287772
2986,0.260884
2987,0.258119
2988,0.269411
2989,0.270325
2990,0.246488
2991,0.269141
2992,0.269719
2993,0.263281
2994,0.263861
2995,0.264775
2996,0.268024
2997,0.250250
2998,0.250167
2999,0.273424
3000,0.276000
3001,0.261913
3002,0.280813
3003,0.262404
3004,0.265313
3005,0.282196
3006,0.267798
3007,0.256402
3008,0.274934
3009,0.267198
3010,0.272093
3011,0.260711
3012,0.260292
3013,0.273482
3014,0.271732
3015,0.261692
3016,0.264589
3017,0.273119
3018,0.267396
3019,0.266313
3020,0.262914
3021,0.278385
3022,0.264394
3023,0.278531
3024,0.264881
3025,0.262479
3026,0.254792
3027,0.293029
3028,0.269815
3029,0.259822
3030,0.262706
3031,0.269218
3032,0.264182
3033,0.267062
3034,0.273896
3035,0.261944
3036,0.256588
3037,0.266381
3038,0.258065
3039,0.264232
3040,0.253947
3041,0.267346
3042,0.265286
3043,0.268485
3044,0.262155
3045,0.260099
3046,0.274458
3047,0.267476
3048,0.247047
3049,0.257461
3050,0.270820
3051,0.281547
3052,0.278506
3053,0.267933
3054,0.269155
3055,0.260556
3056,0.266034
3057,0.274779
3058,0.260628
3059,0.271657
3060,0.253595
3061,0.252205
3062,0.271391
3063,0.266405
3064,0.279047
3065,0.267210
3066,0.274625
3067,0.267688
3068,0.276402
3069,0.266862
3070,0.274267
3071,0.262781
3072,0.266602
3073,0.255451
3074,0.258295
3075,0.261463
3076,0.270806
3077,0.272018
3078,0.261209
3079,0.272166
3080,0.266883
3081,0.265823
3082,0.259247
3083,0.268570
3084,0.257458
3085,0.249919
3086,0.267984
3087,0.270489
3088,0.268782
3089,0.274522
3090,0.277670
3091,0.264316
3092,0.265847
3093,0.267378
3094,0.272463
3095,0.274960
3096,0.261951
3097,0.269616
3098,0.255326
3099,0.264279
3100,0.273871
3101,0.276362
3102,0.262411
3103,0.264583
3104,0.262564
3105,0.286312
3106,0.254346
3107,0.272288
3108,0.278314
3109,0.257961
3110,0.252733
3111,0.271295
3112,0.268638
3113,0.274333
3114,0.265896
3115,0.262279
3116,0.251605
3117,0.261149
3118,0.274856
3119,0.277653
3120,0.261859
3121,0.269785
3122,0.264894
3123,0.271214
3124,0.272407
3125,0.250880
3126,0.263916
3127,0.272466
3128,0.262148
3129,0.268776
3130,0.273802
3131,0.261258
3132,0.276820
3133,0.274816
3134,0.263880
3135,0.263158
3136,0.271684
3137,0.260121
3138,0.263862
3139,0.276840
3140,0.265605
3141,0.265521
3142,0.264799
3143,0.278396
3144,0.258588
3145,0.250874
3146,0.271456
3147,0.252304
3148,0.249682
3149,0.275643
3150,0.271429
3151,0.255157
3152,0.257931
3153,0.269902
3154,0.274572
3155,0.268146
3156,0.266477
3157,0.267342
3158,0.259975
3159,0.257676
3160,0.276899
3161,0.264473
3162,0.270715
3163,0.269365
3164,0.258534
3165,0.272670
3166,0.273847
3167,0.290180
3168,0.272096
3169,0.266015
3170,0.262461
3171,0.266162
3172,0.261665
3173,0.265994
3174,0.276938
3175,0.260472
3176,0.261335
3177,0.267233
3178,0.265890
3179,0.277446
3180,0.270440
3181,0.284187
3182,0.254871
3183,0.263902
3184,0.272613
3185,0.274411
3186,0.270245
3187,0.261688
3188,0.263174
3189,0.279084
3190,0.280251
3191,0.270448
3192,0.259085
3193,0.267147
3194,0.274577
3195,0.251330
3196,0.276283
3197,0.287457
3198,0.252971
3199,0.265708
3200,0.270000
3201,0.266479
3202,0.260150
3203,0.267562
3204,0.271536
3205,0.260842
3206,0.274173
3207,0.263174
3208,0.271820
3209,0.264257
3210,0.261371
3211,0.261912
3212,0.259029
3213,0.254279
3214,0.272246
3215,0.275894
3216,0.278918
3217,0.249611
3218,0.274394
3219,0.253495
3220,0.268634
3221,0.249922
3222,0.254190
3223,0.268383
3224,0.263337
3225,0.268217
3226,0.273094
3227,0.274868
3228,0.273854
3229,0.280892
3230,0.264706
3231,0.268028
3232,0.246906
3233,0.270337
3234,0.265925
3235,0.275116
3236,0.271014
3237,0.265060
3238,0.255405
3239,0.288052
3240,0.261728
3241,0.264733
3242,0.258791
3243,0.267345
3244,0.250617
3245,0.271186
3246,0.273259
3247,0.250693
3248,0.267241
3249,0.278855
3250,0.261538
3251,0.276530
3252,0.274293
3253,0.279127
3254,0.280270
3255,0.270661
3256,0.269963
3257,0.272029
3258,0.258748
3259,0.268487
3260,0.256135
3261,0.264336
3262,0.254445
3263,0.277046
3264,0.265012
3265,0.261256
3266,0.280772
3267,0.256811
3268,0.260404
3269,0.277149
3270,0.263303
3271,0.271171
3272,0.267726
3273,0.267339
3274,0.251069
3275,0.265649
3276,0.266178
3277,0.249619
3278,0.275168
3279,0.265325
3280,0.282927
3281,0.265163
3282,0.266910
3283,0.248249
3284,0.275274
3285,0.273059
3286,0.257760
3287,0.286888
3288,0.281022
3289,0.256005
3290,0.265046
3291,0.270435
3292,0.248177
3293,0.262071
3294,0.280814
3295,0.260091
3296,0.269721
3297,0.268426
3298,0.278654
3299,0.264626
3300,0.254242
3301,0.271130
3302,0.250757
3303,0.264608
3304,0.282385
3305,0.269592
3306,0.277374
3307,0.293015
3308,0.260580
3309,0.261106
3310,0.270393
3311,0.275748
3312,0.265700
3313,0.271355
3314,0.265540
3315,0.271192
3316,0.259047
3317,0.252035
3318,0.257384
3319,0.269961
3320,0.261145
3321,0.262873
3322,0.261890
3323,0.275053
3324,0.274970
3325,0.262857
3326,0.259771
3327,0.270514
3328,0.260216
3329,0.266146
3330,0.260060
3331,0.266887
3332,0.251801
3333,0.261626
3334,0.271146
3335,0.260570
3336,0.252398
3337,0.252922
3338,0.255842
3339,0.266846
3340,0.274251
3341,0.271775
3342,0.259425
3343,0.259049
3344,0.261065
3345,0.267265
3346,0.265690
3347,0.272483
3348,0.261947
3349,0.261869
3350,0.272537
3351,0.274545
3352,0.263126
3353,0.259171
3354,0.267442
3355,0.262593
3356,0.260131
3357,0.266607
3358,0.256998
3359,0.278059
3360,0.254167
3361,0.269860
3362,0.274539
3363,0.259887
3364,0.266052
3365,0.250520
3366,0.269459
3367,0.260469
3368,0.267815
3369,0.252300
3370,0.273294
3371,0.263720
3372,0.264828
3373,0.269197
3374,0.267635
3375,0.252444
3376,0.259182
3377,0.271247
3378,0.250444
3379,0.270494
3380,0.257396
3381,0.260870
3382,0.270550
3383,0.264854
3384,0.270390
3385,0.272674
3386,0.264914
3387,0.264541
3388,0.263282
3389,0.263795
3390,0.266962
3391,0.271601
3392,0.263561
3393,0.257294
3394,0.275192
3395,0.268336
3396,0.265312
3397,0.244333
3398,0.264273
3399,0.269491
3400,0.280882
3401,0.267862
3402,0.272487
3403,0.254187
3404,0.250294
3405,0.286637
3406,0.266588
3407,0.251834
3408,0.263791
3409,0.264007
3410,0.264809
3411,0.259455
3412,0.255275
3413,0.274832
3414,0.257176
3415,0.260322
3416,0.268150
3417,0.263974
3418,0.262142
3419,0.266160
3420,0.262281
3421,0.258989
3422,0.255698
3423,0.265557
3424,0.269276
3425,0.254599
3426,0.263865
3427,0.256784
3428,0.267795
3429,0.261592
3430,0.273469
3431,0.264063
3432,0.256993
3433,0.265948
3434,0.278393
3435,0.260553
3436,0.271828
3437,0.269130
3438,0.262071
3439,0.277697
3440,0.266279
3441,0.269398
3442,0.270773
3443,0.271565
3444,0.266841
3445,0.258345
3446,0.261463
3447,0.261677
3448,0.256671
3449,0.274572
3450,0.281159
3451,0.267459
3452,0.268540
3453,0.278598
3454,0.277939
3455,0.257598
3456,0.264757
3457,0.269309
3458,0.260844
3459,0.276959
3460,0.271676
3461,0.253106
3462,0.272097
3463,0.266243
3464,0.256928
3465,0.277633
3466,0.270340
3467,0.266801
3468,0.260957
3469,0.268665
3470,0.276657
3471,0.280035
3472,0.264401
3473,0.278722
3474,0.252159
3475,0.254388
3476,0.253165
3477,0.263445
3478,0.271420
3479,0.263581
3480,0.260057
3481,0.256535
3482,0.260482
3483,0.256675
3484,0.248278
3485,0.266858
3486,0.273379
3487,0.271580
3488,0.272649
3489,0.276010
3490,0.272779
3491,0.257806
3492,0.267468
3493,0.259376
3494,0.283915
3495,0.262089
3496,0.272311
3497,0.245353
3498,0.274728
3499,0.276936
3500,0.261429
3501,0.269066
3502,0.272701
3503,0.260063
3504,0.259132
3505,0.255635
3506,0.250143
3507,0.265754
3508,0.271950
3509,0.274722
3510,0.284615
3511,0.269154
3512,0.257118
3513,0.264446
3514,0.273478
3515,0.260313
3516,0.265074
3517,0.261302
3518,0.262081
3519,0.265132
3520,0.265909
3521,0.264698
3522,0.266326
3523,0.249219
3524,0.283768
3525,0.276312
3526,0.270562
3527,0.268500
3528,0.272109
3529,0.253046
3530,0.260907
3531,0.286038
3532,0.263307
3533,0.259836
3534,0.267119
3535,0.269873
3536,0.274887
3537,0.269155
3538,0.262012
3539,0.259960
3540,0.260169
3541,0.255013
3542,0.258329
3543,0.256844
3544,0.260722
3545,0.262059
3546,0.255217
3547,0.264449
3548,0.269729
3549,0.262891
3550,0.273803
3551,0.264433
3552,0.261261
3553,0.262876
3554,0.264209
3555,0.267511
3556,0.271654
3557,0.270734
3558,0.256324
3559,0.265524
3560,0.265169
3561,0.261724
3562,0.275407
3563,0.262419
3564,0.251122
3565,0.258906
3566,0.273976
3567,0.269414
3568,0.275785
3569,0.263939
3570,0.267507
3571,0.267432
3572,0.257559
3573,0.261405
3574,0.258254
3575,0.270490
3576,0.271812
3577,0.260554
3578,0.267747
3579,0.275217
3580,0.256425
3581,0.262776
3582,0.254606
3583,0.254814
3584,0.270647
3585,0.269456
3586,0.273564
3587,0.272930
3588,0.274526
3589,0.284202
3590,0.274095
3591,0.265943
3592,0.265869
3593,0.260785
3594,0.267668
3595,0.267872
3596,0.264461
3597,0.254657
3598,0.266259
3599,0.280911
3600,0.279722
3601,0.269370
3602,0.274014
3603,0.253677
3604,0.273862
3605,0.273232
3606,0.274820
3607,0.269476
3608,0.264690
