n,P_approx_2(2.3.n)
455,0.252747
456,0.263158
457,0.260394
458,0.218341
459,0.287582
460,0.265217
461,0.264642
462,0.277056
463,0.244060
464,0.256466
465,0.275269
466,0.266094
467,0.271949
468,0.297009
469,0.236674
470,0.248936
471,0.290870
472,0.245763
473,0.255814
474,0.259494
475,0.271579
476,0.252101
477,0.276730
478,0.232218
479,0.252610
480,0.262500
481,0.274428
482,0.232365
483,0.242236
484,0.241736
485,0.274227
486,0.302469
487,0.266940
488,0.270492
489,0.271984
490,0.332653
491,0.254582
492,0.284553
493,0.269777
494,0.315789
495,0.286869
496,0.300403
497,0.285714
498,0.275100
499,0.264529
500,0.276000
501,0.249501
502,0.288845
503,0.264414
504,0.271825
505,0.285149
506,0.280632
507,0.272189
508,0.263780
509,0.282908
510,0.296078
511,0.273973
512,0.281250
513,0.267057
514,0.252918
515,0.271845
516,0.238372
517,0.257253
518,0.258687
519,0.254335
520,0.221154
521,0.301344
522,0.272031
523,0.258126
524,0.236641
525,0.262857
526,0.224335
527,0.267552
528,0.274621
529,0.285444
530,0.286792
531,0.276836
532,0.263158
533,0.243902
534,0.280899
535,0.244860
536,0.268657
537,0.266294
538,0.258364
539,0.254174
540,0.274074
541,0.255083
542,0.284133
543,0.230203
544,0.273897
545,0.244037
546,0.271062
547,0.228519
548,0.321168
549,0.291439
550,0.290909
551,0.246824
552,0.273551
553,0.287523
554,0.277978
555,0.259459
556,0.239209
557,0.262118
558,0.240143
559,0.286225
560,0.278571
561,0.263815
562,0.293594
563,0.257549
564,0.253546
565,0.246018
566,0.257951
567,0.289242
568,0.278169
569,0.279438
570,0.280702
571,0.267951
572,0.248252
573,0.298429
574,0.303136
575,0.273043
576,0.258681
577,0.270364
578,0.264706
579,0.246978
580,0.279310
581,0.266781
582,0.281787
583,0.296741
584,0.248288
585,0.270085
586,0.267918
587,0.221465
588,0.268707
589,0.256367
590,0.255932
591,0.253807
592,0.258446
593,0.281619
594,0.259259
595,0.280672
596,0.273490
597,0.252931
598,0.260870
599,0.235392
600,0.260000
601,0.262895
602,0.255814
603,0.258706
604,0.263245
605,0.276033
606,0.290429
607,0.289951
608,0.277961
609,0.282430
610,0.290164
611,0.261866
612,0.214052
613,0.249592
614,0.260586
615,0.256911
616,0.264610
617,0.259319
618,0.260518
619,0.258481
620,0.264516
621,0.241546
622,0.252412
623,0.243981
624,0.240385
625,0.252800
626,0.255591
627,0.295056
628,0.262739
629,0.259141
630,0.263492
631,0.266244
632,0.273734
633,0.233807
634,0.258675
635,0.250394
636,0.243711
637,0.277865
638,0.255486
639,0.294210
640,0.267188
641,0.285491
642,0.255452
643,0.258165
644,0.268634
645,0.305426
646,0.278638
647,0.256569
648,0.246914
649,0.240370
650,0.252308
651,0.278034
652,0.291411
653,0.292496
654,0.253823
655,0.274809
656,0.243902
657,0.251142
658,0.278116
659,0.273141
660,0.290909
661,0.258699
662,0.253776
663,0.283560
664,0.287651
665,0.266165
666,0.277778
