ième partie,n_tours,temps_ms,scores[0],scores[1],victoires
1,10,0.27,17,14,0.000000
2,12,0.21,24,24,0.500000
3,10,0.11,20,20,0.500000
4,13,0.22,26,26,0.500000
5,15,0.22,27,24,0.000000
6,11,0.20,22,22,0.500000
7,15,0.24,30,30,0.500000
8,14,0.28,25,22,0.000000
9,12,0.38,21,18,0.000000
10,12,0.21,22,20,0.000000
11,12,0.22,22,20,0.000000
12,14,0.22,24,22,0.000000
13,11,0.21,20,20,0.500000
14,12,0.33,21,18,0.000000
15,11,0.58,18,18,0.500000
16,10,0.21,20,20,0.500000
17,11,0.38,19,16,0.000000
18,10,1.23,14,14,0.500000
19,14,0.77,28,28,0.500000
20,15,0.27,30,30,0.500000
21,12,0.42,24,24,0.500000
22,10,0.20,20,20,0.500000
23,11,0.55,22,22,0.500000
24,13,0.29,23,20,0.000000
25,10,0.10,11,0,0.000000
26,13,0.21,26,26,0.500000
27,14,0.30,26,24,0.000000
28,13,0.29,24,22,0.000000
29,15,0.25,25,24,0.000000
30,15,0.25,30,30,0.500000
31,10,0.20,20,20,0.500000
32,14,0.24,28,28,0.500000
33,12,0.25,20,16,0.000000
34,11,0.14,19,16,0.000000
35,13,0.21,26,26,0.500000
36,14,0.23,26,26,0.500000
37,15,0.29,30,30,0.500000
38,10,0.20,20,20,0.500000
39,12,0.20,24,24,0.500000
40,15,0.22,30,30,0.500000
41,13,0.24,26,26,0.500000
42,12,0.22,21,18,0.000000
43,14,0.22,24,24,0.500000
44,15,0.12,30,30,0.500000
45,14,0.26,27,26,0.000000
46,15,0.30,28,26,0.000000
47,10,0.12,16,14,0.000000
48,14,0.28,26,24,0.000000
49,10,0.11,20,20,0.500000
50,13,0.11,23,22,0.000000
51,14,0.37,24,20,0.000000
52,12,0.21,20,18,0.000000
53,14,0.22,27,26,0.000000
54,10,0.28,17,14,0.000000
55,15,0.22,28,26,0.000000
56,15,0.25,30,30,0.500000
57,12,0.23,24,24,0.500000
58,13,0.25,26,26,0.500000
59,15,0.65,30,30,0.500000
60,14,0.13,28,28,0.500000
61,13,0.11,26,26,0.500000
62,15,0.21,24,22,0.000000
63,14,0.25,28,28,0.500000
64,15,0.30,28,26,0.000000
65,13,0.21,24,22,0.000000
66,10,0.19,17,14,0.000000
67,10,0.55,20,20,0.500000
68,15,0.14,30,30,0.500000
69,11,0.22,22,22,0.500000
70,13,1.05,20,12,0.000000
71,11,0.24,20,18,0.000000
72,11,0.32,22,22,0.500000
73,15,0.12,30,30,0.500000
74,13,0.43,23,20,0.000000
75,11,0.11,22,22,0.500000
76,15,0.21,23,20,0.000000
77,12,0.20,24,24,0.500000
78,15,0.24,29,28,0.000000
79,10,0.19,17,16,0.000000
80,11,0.20,22,22,0.500000
81,12,0.11,24,24,0.500000
82,11,0.10,18,14,0.000000
83,14,0.19,24,20,0.000000
84,15,0.30,29,28,0.000000
85,11,0.22,18,18,0.500000
86,14,0.30,28,28,0.500000
87,14,0.18,28,28,0.500000
88,13,0.38,26,26,0.500000
89,13,0.21,26,26,0.500000
90,14,0.22,28,28,0.500000
91,13,0.29,24,22,0.000000
92,13,0.23,24,22,0.000000
93,10,0.20,17,14,0.000000
94,14,0.22,25,22,0.000000
95,14,0.21,26,26,0.500000
96,11,0.15,22,22,0.500000
97,12,0.15,24,24,0.500000
98,11,0.15,20,18,0.000000
99,15,0.16,29,28,0.000000
100,10,0.14,20,20,0.500000
